Class,Dataset Name,Order,Variable Name,Label,Type,Codelist,Value list,Format,Role,Notes,Core
Special-Purpose,CO,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Special-Purpose,CO,2,DOMAIN,Domain Abbreviation,Char,,CO,,Identifier,Two-character abbreviation for the domain.,Req
Special-Purpose,CO,3,RDOMAIN,Related Domain Abbreviation,Char,,,,Record Qualifier,Two-character abbreviation for the domain of the parent record(s). Null for comments collected on a general comments or additional information CRF page.,Perm
Special-Purpose,CO,4,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
Special-Purpose,CO,5,COSEQ,Sequence Number,Num,,,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
Special-Purpose,CO,6,IDVAR,Identifying Variable,Char,,,,Record Qualifier,Identifying variable in the parent dataset that identifies the record(s) to which the comment applies. Examples AESEQ or CMGRPID. Used only when individual comments are related to domain records. Null for comments collected on separate CRFs.,Perm
Special-Purpose,CO,7,IDVARVAL,Identifying Variable Value,Char,,,,Record Qualifier,Value of identifying variable of the parent record(s). Used only when individual comments are related to domain records. Null for comments collected on separate CRFs.,Perm
Special-Purpose,CO,8,COREF,Comment Reference,Char,,,,Record Qualifier,"Sponsor-defined reference associated with the comment. May be the CRF page number (e.g. 650), or a module name (e.g. DEMOG), or a combination of information that identifies the reference (e.g. 650-VITALS-VISIT 2).",Perm
Special-Purpose,CO,9,COVAL,Comment,Char,,,,Topic,The text of the comment. Text over 200 characters can be added to additional columns COVAL1-COVALn. See Assumption 3.,Req
Special-Purpose,CO,10,COEVAL,Evaluator,Char,,,,Record Qualifier,"Used to describe the originator of the comment. Examples: CENTRAL, REVIEWER, ADJUDICATION COMMITTEE, PRINCIPAL INVESTIGATOR.",Perm
Special-Purpose,CO,11,CODTC,Date/Time of Comment,Char,,,ISO 8601,Timing,Date/time of comment on dedicated comment form. Should be null if this is a child record of another domain or if comment date was not collected.,Perm
Special-Purpose,DM,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Special-Purpose,DM,2,DOMAIN,Domain Abbreviation,Char,,DM,,Identifier,Two-character abbreviation for the domain.,Req
Special-Purpose,DM,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,"Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product. This must be a unique number, and could be a compound identifier formed by concatenating STUDYID-SITEID-SUBJID.",Req
Special-Purpose,DM,4,SUBJID,Subject Identifier for the Study,Char,,,,Topic,"Subject identifier, which must be unique within the study. Often the ID of the subject as recorded on a CRF.",Req
Special-Purpose,DM,5,RFSTDTC,Subject Reference Start Date/Time,Char,,,ISO 8601,Record Qualifier,"Reference Start Date/time for the subject in ISO 8601 character format. Usually equivalent to date/time when subject was first exposed to study treatment. Required for all randomized subjects; will be null for all subjects who did not meet the milestone the date requires, such as screen failures or unassigned subjects.",Exp
Special-Purpose,DM,6,RFENDTC,Subject Reference End Date/Time,Char,,,ISO 8601,Record Qualifier,"Reference End Date/time for the subject in ISO 8601 character format. Usually equivalent to the date/time when subject was determined to have ended the trial, and often equivalent to date/time of last exposure to study treatment. Required for all randomized subjects; null for screen failures or unassigned subjects.",Exp
Special-Purpose,DM,7,RFXSTDTC,Date/Time of First Study Treatment,Char,,,ISO 8601,Record Qualifier,"First date of exposure to any protocol-specified treatment or therapy, equal to the earliest value of EXSTDTC.",Exp
Special-Purpose,DM,8,RFXENDTC,Date/Time of Last Study Treatment,Char,,,ISO 8601,Record Qualifier,"Last date of exposure to any protocol-specified treatment or therapy, equal to the latest value of EXENDTC (or the latest value of EXSTDTC if EXENDTC was not collected or is missing).",Exp
Special-Purpose,DM,9,RFICDTC,Date/Time of Informed Consent,Char,,,ISO 8601,Record Qualifier,"Date/time of informed consent in ISO 8601 character format. This will be the same as the date of informed consent in the Disposition domain, if that protocol milestone is documented. Would be null only in studies not collecting the date of informed consent.",Exp
Special-Purpose,DM,10,RFPENDTC,Date/Time of End of Participation,Char,,,ISO 8601,Record Qualifier,"Date/time when subject ended participation or follow-up in a trial, as defined in the protocol, in ISO 8601 character format. Should correspond to the last known date of contact. Examples include completion date, withdrawal date, last follow-up, date recorded for lost to follow up, or death date.",Exp
Special-Purpose,DM,11,DTHDTC,Date/Time of Death,Char,,,ISO 8601,Record Qualifier,"Date/time of death for any subject who died, in ISO 8601 format. Should represent the date/time that is captured in the clinical-trial database.",Exp
