class_name,ordinal,name,label,description,datasetStructure
Interventions,2,AG,Procedure Agents,"An interventions domain that contains the agents administered to the subject as part of a procedure or assessment, as opposed to drugs, medications and therapies administered with therapeutic intent.",One record per recorded intervention occurrence per subject
Interventions,6,CM,Concomitant/Prior Medications,"An interventions domain that contains concomitant and prior medications used by the subject, such as those given on an as needed basis or condition-appropriate medications.",One record per recorded intervention occurrence or constant-dosing interval per subject
Interventions,15,EC,Exposure as Collected,"An interventions domain that contains information about protocol-specified study treatment administrations, as collected.","One record per protocol-specified study treatment, collected-dosing interval, per subject, per mood"
Interventions,17,EX,Exposure,"An interventions domain that contains the details of a subject's exposure to protocol-specified study treatment. Study treatment may be any intervention that is prospectively defined as a test material within a study, and is typically but not always supplied to the subject.","One record per protocol-specified study treatment, constant-dosing interval, per subject"
Interventions,29,ML,Meal Data,An interventions domain that contains information describing a subject's food product consumption.,One record per food product occurrence or constant intake interval per subject
Interventions,37,PR,Procedures,"An interventions domain that contains interventional activity intended to have diagnostic, preventive, therapeutic, or palliative effects.",One record per recorded procedure per occurrence per subject
Interventions,50,SU,Substance Use,An interventions domain that contains substance use information that may be used to assess the efficacy and/or safety of therapies that look to mitigate the effects of chronic substance use.,One record per substance type per reported occurrence per subject
Events,1,AE,Adverse Events,An events domain that contains data describing untoward medical occurrences in a patient or subjects that are administered a pharmaceutical product and which may not necessarily have a causal relationship with the treatment.,One record per adverse event per subject
Events,3,BE,Biospecimen Events,"An events domain that documents actions taken that affect or may affect a specimen (e.g., specimen collection, freezing and thawing, aliquoting, transportation).",One record per instance per biospecimen event per biospecimen identifier per subject
Events,5,CE,Clinical Events,An events domain that contains clinical events of interest that would not be classified as adverse events.,One record per event per subject
Events,13,DS,Disposition,An events domain that contains information encompassing and representing data related to subject disposition.,One record per disposition status or protocol milestone per subject
Events,14,DV,Protocol Deviations,An events domain that contains protocol violations and deviations during the course of the study.,One record per protocol deviation per subject
Events,21,HO,Healthcare Encounters,"An events domain that contains data for inpatient and outpatient healthcare events (e.g., hospitalization, nursing home stay, rehabilitation facility stay, ambulatory surgery).",One record per healthcare encounter per subject
Events,26,MH,Medical History,An events domain that contains data that includes the subject's prior medical history at the start of the trial.,One record per medical history event per subject
Findings,4,BS,Biospecimen Findings,A findings domain that contains data related to biospecimen characteristics.,One record per measurement per biospecimen identifier per subject
Findings,8,CP,Cell Phenotype Findings,"A findings domain that contains data related to the characterization of cell phenotype, lineage, and function based on expression of specific markers in single cell or particle suspensions.",One record per test per specimen per timepoint per visit per subject
Findings,9,CV,Cardiovascular System Findings,"A findings domain that contains physiological and morphological findings related to the cardiovascular system, including the heart, blood vessels and lymphatic vessels.",One record per finding or result per time point per visit per subject
Findings,10,DA,Product Accountability,"A findings domain that contains the accountability of study products, such as information on the receipt, dispensing, return, and packaging.",One record per product accountability finding per subject
Findings,11,DD,Death Details,A findings domain that contains the diagnosis of the cause of death for a subject.,One record per finding per subject
Findings,16,EG,ECG Test Results,"A findings domain that contains ECG data, including position of the subject, method of evaluation, all cycle measurements and all findings from the ECG including an overall interpretation if collected or derived.",One record per ECG observation per replicate per time point or one record per ECG observation per beat per visit per subject
Findings,19,FT,Functional Tests,"A findings domain that contains data for named, stand-alone, task-based evaluations designed to provide an assessment of mobility, dexterity, or cognitive ability.",One record per Functional Test finding per time point per visit per subject
Findings,20,GF,Genomics Findings,"A findings domain that contains data related to the structure, function, evolution, mapping, and editing of subject and non-host organism genomic material of interest. This domain includes but is not limited to assessments and results for genetic variation and transcription, and summary measures derived from these assessments. The GF domain is used for findings from characteristics assessed from nucleic acids and may include subsequent inferences and/or predictions about related proteins/amino acids.",One record per finding per observation per biospecimen per subject
Findings,22,IE,Inclusion/Exclusion Criteria Not Met,A findings domain that contains those criteria that cause the subject to be in violation of the inclusion/exclusion criteria.,One record per inclusion/exclusion criterion not met per subject
Findings,23,IS,Immunogenicity Specimen Assessments,A findings domain for assessments of antigen induced humoral or cell-mediated immune response in the subject.,One record per test per visit per subject
Findings,24,LB,Laboratory Test Results,"A findings domain that contains laboratory test data such as hematology, clinical chemistry and urinalysis. This domain does not include microbiology or pharmacokinetic data, which are stored in separate domains.",One record per lab test per time point per visit per subject
Findings,25,MB,Microbiology Specimen,"A findings domain that represents non-host organisms identified including bacteria, viruses, parasites, protozoa and fungi.",One record per microbiology specimen finding per time point per visit per subject
Findings,27,MI,Microscopic Findings,A findings domain that contains histopathology findings and microscopic evaluations.,One record per finding per specimen per subject
Findings,28,MK,Musculoskeletal System Findings,"A findings domain that contains physiological and morphological findings related to the system of muscles, tendons, ligaments, bones, joints, and associated tissues.",One record per assessment per visit per subject
Findings,30,MS,Microbiology Susceptibility,"A findings domain that represents drug susceptibility testing results only. This includes phenotypic testing (where drug is added directly to a culture of organisms) and genotypic tests that provide results in terms of susceptible or resistant. Drug susceptibility testing may occur on a wide variety of non-host organisms, including bacteria, viruses, fungi, protozoa and parasites.",One record per microbiology susceptibility test (or other organism-related finding) per organism found in MB
Findings,31,NV,Nervous System Findings,"A findings domain that contains physiological and morphological findings related to the nervous system, including the brain, spinal cord, the cranial and spinal nerves, autonomic ganglia and plexuses.",One record per finding per location per time point per visit per subject
Findings,32,OE,Ophthalmic Examinations,"A findings domain that contains tests that measure a person's ocular health and visual status, to detect abnormalities in the components of the visual system, and to determine how well the person can see.","One record per ophthalmic finding per method per location, per time point per visit per subject"
Findings,34,PC,Pharmacokinetics Concentrations,A findings domain that contains concentrations of drugs or metabolites in fluids or tissues as a function of time.,One record per sample characteristic or time-point concentration per reference time point or per analyte per subject
Findings,35,PE,Physical Examination,"A findings domain that contains findings observed during a physical examination where the body is evaluated by inspection, palpation, percussion, and auscultation.",One record per body system or abnormality per visit per subject
Findings,36,PP,Pharmacokinetics Parameters,A findings domain that contains pharmacokinetic parameters derived from pharmacokinetic concentration-time (PC) data.,One record per PK parameter per time-concentration profile per modeling method per subject
Findings,38,QS,Questionnaires,"A findings domain that contains data for named, stand-alone instruments designed to provide an assessment of a concept. Questionnaires have a defined standard structure, format, and content; consist of conceptually related items that are typically scored; and have documented methods for administration and analysis.",One record per questionnaire per question per time point per visit per subject
Findings,39,RE,Respiratory System Findings,"A findings domain that contains physiological and morphological findings related to the respiratory system, including the organs that are involved in breathing such as the nose, throat, larynx, trachea, bronchi and lungs.",One record per finding or result per time point per visit per subject
Findings,43,RP,Reproductive System Findings,A findings domain that contains physiological and morphological findings related to the male and female reproductive systems.,One record per finding or result per time point per visit per subject
Findings,44,RS,Disease Response and Clin Classification,"A findings domain for the assessment of disease response to therapy, or clinical classification based on published criteria.",One record per response assessment or clinical classification assessment per time point per visit per subject per assessor per medical evaluator
Findings,45,SC,Subject Characteristics,A findings domain that contains subject-related data not collected in other domains.,One record per characteristic per visit per subject.
Findings,49,SS,Subject Status,A findings domain that contains the subject's status that is evaluated periodically to determine if it has changed.,One record per status per visit per subject
Findings,58,TR,Tumor/Lesion Results,"A findings domain that represents quantitative measurements and/or qualitative assessments of the tumors, lesions, or locations of interest identified in the Tumor/Lesion Identification (TU) domain.",One record per tumor measurement/assessment per visit per subject per assessor
Findings,60,TU,Tumor/Lesion Identification,"A findings domain that represents data that uniquely identifies tumors, lesions, or locations of interest under study.",One record per identified tumor per subject per assessor
Findings,62,UR,Urinary System Findings,"A findings domain that contains physiological and morphological findings related to the urinary tract, including the organs involved in the creation and excretion of urine such as the kidneys, ureters, bladder and urethra.",One record per finding per location per per visit per subject
Findings,63,VS,Vital Signs,"A findings domain that contains measurements including but not limited to blood pressure, temperature, respiration, body surface area, body mass index, height and weight.",One record per vital sign measurement per time point per visit per subject
Findings About,18,FA,Findings About Events or Interventions,A findings domain that contains the findings about an event or intervention that cannot be represented within an events or interventions domain record or as a supplemental qualifier.,"One record per finding, per object, per time point, per visit per subject"
Findings About,48,SR,Skin Response,A findings about domain for submitting dermal responses to antigens.,"One record per finding, per object, per time point, per visit per subject"
Special-Purpose,7,CO,Comments,A special-purpose domain that contains comments that may be collected alongside other data.,One record per comment per subject
Special-Purpose,12,DM,Demographics,A special-purpose domain that includes a set of essential standard variables that describe each subject in a clinical study. It is the parent domain for all other observations for human clinical subjects.,One record per subject
Special-Purpose,46,SE,Subject Elements,"A special-purpose domain that contains the actual order of elements followed by the subject, together with the start date/time and end date/time for each element.",One record per actual Element per subject
Special-Purpose,47,SM,Subject Disease Milestones,"A special-purpose domain that is designed to record the timing, for each subject, of disease milestones that have been defined in the Trial Disease Milestones (TM) domain.",One record per Disease Milestone per subject
Special-Purpose,52,SV,Subject Visits,A special purpose domain that contains information for each subject's actual and planned visits.,One record per actual or planned visit per subject
Trial Design,53,TA,Trial Arms,A trial design domain that contains each planned arm in the trial.,One record per planned Element per Arm
Trial Design,54,TD,Trial Disease Assessments,"A trial design domain that provides information on the protocol-specified disease assessment schedule, to be used for comparison with the actual occurrence of the efficacy assessments in order to determine whether there was good compliance with the schedule.",One record per planned constant assessment period
Trial Design,55,TE,Trial Elements,"A trial design domain that contains the element code that is unique for each element, the element description, and the rules for starting and ending an element.",One record per planned Element
