class_name,ordinal,name,label,description,datasetStructure
Interventions,4,EX,Exposure,"An interventions domain that contains the details of a subject's exposure to protocol-specified study treatment. Study treatment may be any intervention that is prospectively defined as a test material within a study, and is typically but not always supplied to the subject. (Source: CDISC Controlled Terminology, SDOMAIN, C49587, 2018-06-29)",One record per constant dosing interval per treatment per subject or pool
Events,5,DS,Disposition,"An events domain that contains information encompassing and representing data related to subject disposition. (Source: CDISC Controlled Terminology, SDOMAIN, C49576, 2018-06-29)",One record per subject
Findings,6,BW,Body Weight,"This domain captures body weights collected for subjects during the study and at the end of the study (terminal body weights). (Source: CDISC Controlled Terminology, SDOMAIN, C95085, 2018-06-29)",One record per test per observation time per subject
Findings,7,BG,Body Weight Gains,"Body weight gain is the actual difference between two body weight measurements for any given interval for a subject. This is most commonly shown as the difference between two consecutive body weight measurements. (Source: CDISC Controlled Terminology, SDOMAIN, C95083, 2018-06-29)",One record per test per interval per subject
Findings,8,CL,Clinical Observations,"This domain captures clinical sign information including ophthalmology, physical examination, and dermal examination collected in life while executing the study. (Source: CDISC Controlled Terminology, SDOMAIN, C95086, 2018-06-29)",One record per finding per observation time per subject or pool
Findings,9,DD,Death Diagnosis and Details,"An events domain that contains the diagnosis of the cause of death for a subject. (Source: CDISC Controlled Terminology, SDOMAIN, C95087, 2018-06-29)",One record per diagnosis per subject (for unscheduled deaths only)
Findings,10,FW,Food and Water Consumption,"This domain captures food/water consumption of animals in the study. The data in this domain is derived data. (Source: CDISC Controlled Terminology, SDOMAIN, C95090, 2018-06-29)",One record per test per interval per subject or pool
Findings,11,LB,Laboratory,"A findings domain that contains laboratory test data such as hematology, clinical chemistry and urinalysis. This domain does not include microbiology or pharmacokinetic data, which are stored in separate domains. (Source: CDISC Controlled Terminology, SDOMAIN, C49592, 2018-06-29)",One record per test per specimen per observation time per subject or pool
Findings,12,MA,Macroscopic Findings,"The gross pathology findings recorded at necropsy. (Source: CDISC Controlled Terminology, SDOMAIN, C95094, 2018-06-29)",One record per finding per specimen per subject
Findings,13,MI,Microscopic Findings,"A findings domain that contains histopathology findings and microscopic evaluations. (Source: CDISC Controlled Terminology, SDOMAIN, C95095, 2018-06-29)",One record per finding per specimen per subject
Findings,14,OM,Organ Measurements,"Findings from organ measurement evaluations. (Source: CDISC Controlled Terminology, SDOMAIN, C49605, 2018-06-29)",One record per test per specimen per subject
Findings,15,PM,Palpable Masses,"This domain captures information of any palpable masses examined during the experimental phase. (Source: CDISC Controlled Terminology, SDOMAIN, C95097, 2018-06-29)",One record per test per palpable mass per observation time per subject
Findings,16,PC,Pharmacokinetic Concentrations,"A findings domain that contains concentrations of drugs or metabolites in fluids or tissues as a function of time. (Source: CDISC Controlled Terminology, SDOMAIN, C49606, 2018-06-29)",One record per test per specimen per observation time per subject or pool
Findings,17,PP,Pharmacokinetics Parameters,"A findings domain that contains pharmacokinetic parameters derived from pharmacokinetic concentration-time (PC) data. (Source: CDISC Controlled Terminology, SDOMAIN, C49607, 2018-06-29)",One record per pharmacokinetic parameter per time-concentration profile per specimen per subject or pool
Findings,18,SC,Subject Characteristics,"A findings domain that contains subject-related data not collected in other domains. (Source: CDISC Controlled Terminology, SDOMAIN, C49610, 2018-06-29)",One record per characteristic per subject
Findings,19,TF,Tumor Findings,"This domain captures the tumor findings of the nonclinical subject. (Source: CDISC Controlled Terminology, SDOMAIN, C95100, 2018-06-29)",One record per tumor per specimen per subject
Findings,20,VS,Vital Signs,"A findings domain that contains measurements including but not limited to blood pressure, temperature, respiration, body surface area, body mass index, height and weight. (Source: CDISC Controlled Terminology, SDOMAIN, C49622, 2018-06-29)",One record per measurement per observation time per subject
Findings,21,EG,ECG,"A findings domain that contains ECG data, including position of the subject, method of evaluation, all cycle measurements and all findings from the ECG including an overall interpretation if collected or derived. (Source: CDISC Controlled Terminology, SDOMAIN, C49626, 2018-06-29)",One record per test per ECG reference per observation time per subject
Findings,22,CV,Cardiovascular Findings,"A findings domain that contains physiological and morphological findings related to the cardiovascular system, including the heart, blood vessels and lymphatic vessels. (Source: CDISC Controlled Terminology, SDOMAIN, C102605, 2018-06-29)",One record per test per observation time or evaluation interval per subject
Findings,23,RE,Respiratory,"A findings domain that contains physiological and morphological findings related to the respiratory system, including the organs that are involved in breathing such as the nose, throat, larynx, trachea, bronchi and lungs. (Source: CDISC Controlled Terminology, SDOMAIN, C95098, 2018-06-29)",One record per test per observation time or evaluation interval per subject
Special-Purpose,1,DM,Demographics,"A special-purpose domain that includes a set of essential standard variables that describe each subject in a clinical study. It is the parent domain for all other observations for human clinical subjects. (Source: CDISC Controlled Terminology, SDOMAIN, C49572, 2018-06-29)",One record per subject
Special-Purpose,2,CO,Comments,"A special-purpose domain that contains comments that may be collected alongside other data. (Source: CDISC Controlled Terminology, SDOMAIN, C49569, 2018-06-29)",One record per comment
Special-Purpose,3,SE,Subject Elements,"A special-purpose domain that contains the actual order of elements followed by the subject, together with the start date/time and end date/time for each element. (Source: CDISC Controlled Terminology, SDOMAIN, C49616, 2018-06-29)",One record per element experienced per subject
Trial Design,24,TE,Trial Elements,"A trial design domain that contains the element code that is unique for each element, the element description, and the rules for starting and ending an element. (Source: CDISC Controlled Terminology, SDOMAIN, C49619, 2018-06-29)",One record per planned Element
Trial Design,25,TA,Trial Arms,"A trial design domain that contains each planned arm in the trial. (Source: CDISC Controlled Terminology, SDOMAIN, C49618, 2018-06-29)",One record per planned Element per Arm
Trial Design,26,TX,Trial Sets,"A trial design domain that contains one record for each trial set characteristic including experimental factors, treatment factors, inherent characteristics, or distinct sponsor designations. This domain is not subject oriented. (Source: CDISC Controlled Terminology, SDOMAIN, C95103, 2018-06-29)",One record per Trial Set parameter per Trial Set
Trial Design,27,TS,Trial Summary,"A trial design domain that contains one record for each trial summary characteristic. This domain is not subject oriented. (Source: CDISC Controlled Terminology, SDOMAIN, C53483, 2018-06-29)",One record per Trial Summary parameter value
Relationship,28,RELREC,Related Records,,"One record per related record, related group of records, or related domain"
Relationship,29,SUPPQUAL,Supplemental Qualifiers for (domain name),,One record per supplemental qualifier per related parent domain record(s)
Relationship,30,POOLDEF,Pool Definition,,One record per subject per pool
