Class,Dataset Name,Order,Variable Name,Label,Type,Codelist,Value list,Format,Role,Notes,Core
Interventions,EX,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Interventions,EX,2,DOMAIN,Domain Abbreviation,Char,,EX,,Identifier,Two-character abbreviation for the domain.,Req
Interventions,EX,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product. Either USUBJID or POOLID must be populated.,Exp
Interventions,EX,4,POOLID,Pool Identifier,Char,,,,Identifier,"Identifier used for pooling subjects to assign a single finding to multiple subjects. If POOLID is entered, POOLDEF records must exist for each subject and the USUBJID must be null. Either USUBJID or POOLID must be populated.",Perm
Interventions,EX,5,FOCID,Focus of Study-Specific Interest,Char,,,,Identifier,"Identification of a focus of study-specific interest on or within a subject or specimen as defined in the protocol for which a measurement, test, or examination was performed, such as a drug application site, e.g., ""Injection site 1,"" ""Biopsy site 1,"" ""Treated site 1."" the value in this variable should have inherent semantic value.",Perm
Interventions,EX,6,EXSEQ,Sequence Number,Num,,,,Identifier,"The sequence number must be unique for each record within a USUBJID or POOLID, whichever applies for the record.",Req
Interventions,EX,7,EXTRT,Name of Actual Treatment,Char,,,,Topic,"Name of the treatment, as defined by the protocol.",Req
Interventions,EX,8,EXDOSE,Dose per Administration,Num,,,,Record Qualifier,Amount of treatment administered.,Exp
Interventions,EX,9,EXDOSTXT,Dose Description,Char,,,,Record Qualifier,"If the amount of treatment administered cannot be represented as a number and populated in EXDOSE, this field is used to describe the amount of treatment administered. Example: 200-400.",Perm
Interventions,EX,10,EXDOSU,Dose Units,Char,UNIT,,,Variable Qualifier,"Units for EXDOSE or EXDOSTXT. Examples: ng, mg, or mg/kg.",Exp
Interventions,EX,11,EXDOSFRM,Dose Form,Char,FRM,,,Variable Qualifier,"Dose form for treatment (form administered). Examples: TABLET, LOTION.",Exp
Interventions,EX,12,EXDOSFRQ,Dosing Frequency Per Interval,Char,FREQ,,,Variable Qualifier,"Usually expressed as the number of repeated administrations of EXDOSE within a specific time period. Examples: QD (once daily), BID (2x daily).",Req
Interventions,EX,13,EXROUTE,Route of Administration,Char,ROUTE,,,Variable Qualifier,"Route of administration for EXTRT. Examples: ORAL GAVAGE, DERMAL, INTRAVENOUS.",Req
Interventions,EX,14,EXLOT,Lot Number,Char,,,,Record Qualifier,"Lot Number(s) or Batch Number(s) of the EXTRT test article. If mixed lots of the test article are administered during the same constant dosing interval, this should be represented as ""Lot A;Lot B."" Mixed lots are produced by the mixing of Lots a and B of the test article into one solution, suspension, or dietary food concentration. If no test article was administered, EXLOT should be null.",Exp
Interventions,EX,15,EXLOC,Location of Dose Administration,Char,,,,Record Qualifier,Specifies anatomical location (site) of administration. Example: LEFT HINDLIMB for a topical application or an injection site number. Each administration will require its own record.,Perm
Interventions,EX,16,EXMETHOD,Method of Administration,Char,,,,Record Qualifier,Method of the dose administration. Example: INFUSION.,Perm
Interventions,EX,17,EXTRTV,Treatment Vehicle,Char,,,,Record Qualifier,Describes vehicle used for treatment. Example: SALINE.,Exp
Interventions,EX,18,EXVAMT,Amount Administered,Num,,,,Record Qualifier,The amount (volume or weight) of the treatment compound plus vehicle administered in a single dose. This is not to be confused with EXDOSE. EXDOSE refers to the amount of test material administered to the subject.,Perm
Interventions,EX,19,EXVAMTU,Amount Administered Units,Char,UNIT,,,Variable Qualifier,Units for EXVAMT (per dose administration).,Perm
Interventions,EX,20,EXADJ,Reason for Dose Adjustment,Char,,,,Record Qualifier,"Describes reason or explanation of why a dose is adjusted - used only when an adjustment is represented in EX. May be used for variations from protocol-specified doses or changes from expected doses (e.g., when dose is adjusted due to toxicity).",Perm
Interventions,EX,21,EXSTDTC,Start Date/Time of Treatment,Char,,,ISO 8601,Timing,"Date/Time when administration of the treatment indicated by EXTRT and EXDOSE began, in ISO 8601 format.",Exp
Interventions,EX,22,EXENDTC,End Date/Time of Treatment,Char,,,ISO 8601,Timing,"Date/Time when administration of the treatment indicated by EXTRT and EXDOSE ended, in ISO 8601 format.",Perm
Interventions,EX,23,EXSTDY,Study Day of Start of Treatment,Num,,,,Timing,"Study day when administration of the treatment began, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",Perm
